THIS IS AN INSTANCE FOR THE TWO-ECHELON PRODUCTION ROUTING PROBLEM
THIS INSTANCE INCLUDES ONE PRODUCTION PLANT, 3 WAREHOUSES, AND 15 CUSTOMERS.
THIS INSTANCE HAS 6 PERIODS, 2 VEHICLES AT THE PRODUCTION PLANT, AND 2 VEHICLES AT EACH WAREHOUSE.
PLANT VEHICLE CAPACITY: 630.0
WAREHOUSE VEHICLE CAPACITY: 252.0
PRODUCTION_PLANT, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, UNIT_PRODUCTION_COST, SETUP_COST, PRODUCTION_CAPACITY
0, 50.0, 819.0, 0.0, 3.0, 258.0, 30.0, 3000.0, 516.0
WAREHOUSE, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY
1, 270.0, 968.0, 0.0, 3.0, 153.0
2, 35.0, 405.0, 0.0, 5.0, 154.0
3, 469.0, 460.0, 0.0, 3.0, 162.0
CUSTOMER, COORD_X, COORD_Y, INITIAL_INVENTORY, UNIT_HOLDING_COST, INVENTORY_CAPACITY, DEMAND_AVG
4, 361.0, 181.0, 24.0, 10.0, 168.0, 24.0
5, 251.0, 41.0, 44.0, 7.0, 154.0, 22.0
6, 377.0, 38.0, 12.0, 9.0, 84.0, 12.0
7, 443.0, 156.0, 44.0, 8.0, 154.0, 22.0
8, 368.0, 402.0, 46.0, 8.0, 161.0, 23.0
9, 281.0, 372.0, 28.0, 9.0, 98.0, 14.0
10, 373.0, 161.0, 40.0, 9.0, 140.0, 20.0
11, 322.0, 888.0, 20.0, 8.0, 140.0, 20.0
12, 347.0, 803.0, 38.0, 6.0, 133.0, 19.0
13, 463.0, 621.0, 48.0, 10.0, 168.0, 24.0
14, 462.0, 494.0, 18.0, 8.0, 63.0, 9.0
15, 51.0, 868.0, 11.0, 8.0, 77.0, 11.0
16, 31.0, 907.0, 18.0, 7.0, 63.0, 9.0
17, 101.0, 298.0, 7.0, 10.0, 49.0, 7.0
18, 219.0, 171.0, 44.0, 9.0, 154.0, 22.0
